timestamp_utc,species_id,ru_name,latin_name,modality,local_file,source_url,license,source_name
2026-05-05T09:06:55Z,SP007,Обыкновенный соловей,Luscinia luscinia,audio,data/raw/audio/SP007_aud_01.mp3,"https://commons.wikimedia.org/wiki/File:Common_Nightingale_(Luscinia_megarhynchos)_-_Muro,_Spain_2022-04-18_(01).mp3",CC BY-SA 4.0,Wikimedia Commons
2026-05-05T09:06:55Z,SP007,Обыкновенный соловей,Luscinia luscinia,audio,data/raw/audio/SP007_aud_02.mp3,"https://commons.wikimedia.org/wiki/File:Common_Nightingale_(Luscinia_megarhynchos)_-_Muro,_Spain_2022-04-18_(02).mp3",CC BY-SA 4.0,Wikimedia Commons
2026-05-05T09:06:55Z,SP007,Обыкновенный соловей,Luscinia luscinia,audio,data/raw/audio/SP007_aud_03.mp3,"https://commons.wikimedia.org/wiki/File:Common_Nightingale_(Luscinia_megarhynchos)_-_Parc_Natural_de_s'Albufera,_Spain_2022-04-21_(03).mp3",CC BY-SA 4.0,Wikimedia Commons
2026-05-05T09:06:56Z,SP008,Белая трясогузка,Motacilla alba,text,data/raw/text/SP008_text_01.txt,https://en.wikipedia.org/wiki/White_wagtail,CC BY-SA 4.0 (Wikipedia content),Wikipedia
2026-05-05T09:07:00Z,SP008,Белая трясогузка,Motacilla alba,image,data/raw/images/SP008_img_01.jpg,"https://commons.wikimedia.org/wiki/File:Bachstelze_(motacilla_alba)_auf_Singwarte_-_Spiekeroog,_Nationalpark_niedersächsisches_Wattenmeer.jpg",CC BY-SA 4.0,Wikimedia Commons
2026-05-05T09:07:01Z,SP008,Белая трясогузка,Motacilla alba,image,data/raw/images/SP008_img_02.jpg,https://commons.wikimedia.org/wiki/File:Bachstelze_-_Bergeronnette_grise_-_White_wagtail_-_Motacilla_alba_-_01.jpg,CC BY-SA 4.0,Wikimedia Commons
2026-05-05T09:07:02Z,SP008,Белая трясогузка,Motacilla alba,image,data/raw/images/SP008_img_03.jpg,https://commons.wikimedia.org/wiki/File:Bachstelze_-_Bergeronnette_grise_-_White_wagtail_-_Motacilla_alba_-_02.jpg,CC BY-SA 4.0,Wikimedia Commons
2026-05-05T09:07:03Z,SP008,Белая трясогузка,Motacilla alba,audio,data/raw/audio/SP008_aud_01.wav,https://commons.wikimedia.org/wiki/File:LL-Q1860_(eng)-Vealhurl-white_wagtail.wav,CC BY-SA 4.0,Wikimedia Commons
2026-05-05T09:07:03Z,SP008,Белая трясогузка,Motacilla alba,audio,data/raw/audio/SP008_aud_02.mp3,https://commons.wikimedia.org/wiki/File:Motacilla_alba_-_White_Wagtail_XC466458.mp3,CC BY-SA 4.0,Wikimedia Commons
2026-05-05T09:07:04Z,SP008,Белая трясогузка,Motacilla alba,audio,data/raw/audio/SP008_aud_03.mp3,https://commons.wikimedia.org/wiki/File:Motacilla_alba_-_White_Wagtail_XC501786.mp3,CC BY-SA 4.0,Wikimedia Commons
