,title,topFeatures,price,categorie,brand
5252,Brooks England Cambium Comfort Grips,"[['mtb', 'yes']]",26.99,grips,brooks
3032,Campagnolo EPS Athena Saddle Cable Kit,"[['commuter', 'yes'], ['touring', 'yes'], ['cyclocross', 'yes'], ['time trial', 'yes'], ['road', 'yes']]",20.99,saddle,campagnolo
4112,Campagnolo EPS Athena Saddle Cable Kit,"[['commuter', 'yes'], ['touring', 'yes'], ['cyclocross', 'yes'], ['time trial', 'yes'], ['road', 'yes']]",20.99,saddle,campagnolo
640,Campagnolo Profit Pedal Cleats,"[['commuter', 'yes'], ['touring', 'yes'], ['cyclocross', 'yes'], ['time trial', 'yes'], ['road', 'yes']]",10.99,cleats,campagnolo
983,Campagnolo Alloy Bar-End Brake Levers,"[['weight', '106g'], ['commuter', 'yes'], ['touring', 'yes'], ['cyclocross', 'yes'], ['time trial', 'yes'], ['road', 'yes']]",64.99,brake_lever,campagnolo
1999,Campagnolo Ultrashift Ergo Brake Lever Hoods,"[['genuine campagnolo ultrashift ergo brake lever hoods available in two colours', 'red, white.'], ['brake levers/gear shifters', 'campagnolo super record'], ['speed', '9 speed'], ['commuter', 'yes'], ['touring', 'yes'], ['cyclocross', 'yes'], ['time trial', 'yes'], ['road', 'yes']]",17.99,brake_lever,campagnolo
2012,Campagnolo Powershift Ergo Brake Lever Hoods,"[['brake levers/gear shifters', 'campagnolo super record'], ['speed', '9 speed'], ['commuter', 'yes'], ['touring', 'yes'], ['cyclocross', 'yes'], ['time trial', 'yes'], ['road', 'yes']]",19.99,brake_lever,campagnolo
3405,Campagnolo Ultrashift Ergo Brake Lever Hoods,"[['genuine campagnolo ultrashift ergo brake lever hoods available in two colours', 'red, white.'], ['brake levers/gear shifters', 'campagnolo super record'], ['speed', '9 speed'], ['commuter', 'yes'], ['touring', 'yes'], ['cyclocross', 'yes'], ['time trial', 'yes'], ['road', 'yes']]",17.99,brake_lever,campagnolo
3418,Campagnolo Powershift Ergo Brake Lever Hoods,"[['brake levers/gear shifters', 'campagnolo super record'], ['speed', '9 speed'], ['commuter', 'yes'], ['touring', 'yes'], ['cyclocross', 'yes'], ['time trial', 'yes'], ['road', 'yes']]",19.99,brake_lever,campagnolo
1166,Prime Campagnolo Road Disc Brake Pads - Carbon,"[['weight', '16g (per pair)']]",9.99,disc_brake,campagnolo
1172,Prime Campagnolo Road Disc Brake Pads,"[['weight', '20g (per pair)']]",7.99,disc_brake,campagnolo
1383,Campagnolo Ekar AFS Spider Disc Brake Rotor,"[['tempered stainless steel construction', 'strong, light and resistant to corrosion'], ['weight', '157g (160mm with stainless steel spider) / 123g (140mm with stainless steel spider)'], ['brake type', 'hydraulic disc brake'], ['cyclocross', 'yes'], ['road', 'yes']]",29.99,disc_brake,campagnolo
1615,Campagnolo Chorus 12 Speed Hydraulic Disc Brake,"[['material', 'aluminium'], ['use', 'road'], ['speed', '12 speed'], ['type', 'hydraulic disc brake'], ['single or pair', 'single'], ['weight', '503g per pair (sold individually)'], ['brake type', 'hydraulic disc brake'], ['road', 'yes']]",379.99,disc_brake,campagnolo
1621,Campagnolo Chorus 12 Speed Hydraulic Disc Brake,"[['material', 'brake lever'], ['use', 'road, triathlon, time trial (tt) and cyclocross (cx)'], ['speed', '12 speed (front'], ['type', 'hydraulic disc brake'], ['number of pistons', '2 (22mm brake piston)'], ['reach adjust', 'bolt; actuation'], ['hose length', 'front/rear'], ['mount', 'lever'], ['compatible brake rotor', 'centre lock 160mm (available separately)'], ['single or pair', 'single'], ['brake type', 'hydraulic disc brake'], ['cyclocross', 'yes'], ['time trial', 'yes'], ['road', 'yes']]",341.99,disc_brake,campagnolo
1638,Campagnolo Ekar 13 Speed Hydraulic Disc Brake,"[['type', 'hydraulic disc front brake and 13-speed rear shifter (oil type'], ['compatibility', 'designed specifically for ekar 1x13 groupsets'], ['lever clamp type', 'standard 23.8mm handlebar clamp'], ['use', 'gravel and all road riding'], ['please note', 'caliper mount adaptor kit is available separately'], ['lever weight', '420g per pair (sold separately)'], ['caliper weight', '110g (front caliper including adaptor kit)'], ['brake type', 'hydraulic disc brake'], ['brake callipers', 'campagnolo ekar 13 speed right ergo lever and caliper'], ['cyclocross', 'yes'], ['road', 'yes']]",320.99,disc_brake,campagnolo
1166,Prime Campagnolo Road Disc Brake Pads - Carbon,"[['weight', '16g (per pair)']]",9.99,disc_brake_pads,campagnolo
1172,Prime Campagnolo Road Disc Brake Pads,"[['weight', '20g (per pair)']]",7.99,disc_brake_pads,campagnolo
1383,Campagnolo Ekar AFS Spider Disc Brake Rotor,"[['tempered stainless steel construction', 'strong, light and resistant to corrosion'], ['weight', '157g (160mm with stainless steel spider) / 123g (140mm with stainless steel spider)'], ['brake type', 'hydraulic disc brake'], ['cyclocross', 'yes'], ['road', 'yes']]",29.99,disc_brake_rotor,campagnolo
1811,Campagnolo Super Record Groupset (12 Speed),"[['complete groupset weight', '2.041kg'], ['bottom bracket type', 'all'], ['no. of chainrings', 'double'], ['groupset manufacturer', 'campagnolo'], ['brake type', 'caliper'], ['chainset type', 'double'], ['cassette range', '11-32 tooth'], ['speed', '12 speed'], ['groupset', 'campagnolo super record'], ['commuter', 'yes'], ['time trial', 'yes'], ['road', 'yes']]",2399.99,groupset,campagnolo
1813,Campagnolo Chorus 12 Speed Groupset,"[['no. of chainrings', 'double'], ['groupset manufacturer', 'campagnolo'], ['brake type', 'caliper'], ['chainset type', 'double'], ['bottom bracket', 'bsa'], ['cassette range', '11-34 tooth'], ['speed', '12 speed'], ['groupset', 'campagnolo chorus'], ['road', 'yes']]",1144.99,groupset,campagnolo
1821,Campagnolo Chorus 12 Speed Disc Groupset,"[['bottom bracket type', 'bb86 / bb92 / bb121'], ['no. of chainrings', 'double'], ['groupset manufacturer', 'campagnolo'], ['brake type', 'hydraulic disc brake'], ['chainset type', 'double'], ['chainring size', '50 tooth, 34 tooth'], ['bottom bracket', 'campagnolo'], ['cassette range', '11-34 tooth'], ['speed', '12 speed'], ['groupset', 'campagnolo chorus'], ['road', 'yes']]",1430.99,groupset,campagnolo
1822,Campagnolo Chorus 12 Speed Disc Groupset,"[['groupset manufacturer', 'campagnolo'], ['chainset type', 'double'], ['bottom bracket', 'bsa'], ['groupset', 'campagnolo chorus'], ['road', 'yes']]",1657.99,groupset,campagnolo
1824,Campagnolo Record Groupset (12 Speed),"[['complete groupset weight', '2.213kg'], ['bottom bracket type', 'threaded'], ['no. of chainrings', 'double'], ['groupset manufacturer', 'campagnolo'], ['brake type', 'caliper'], ['chainset type', 'double'], ['bottom bracket', 'campagnolo'], ['cassette range', '11-32 tooth'], ['speed', '12 speed'], ['groupset', 'campagnolo record'], ['commuter', 'yes'], ['time trial', 'yes'], ['road', 'yes']]",1799.99,groupset,campagnolo
1825,Campagnolo Centaur 11 Speed Groupset,"[['use', 'road'], ['speed', '11 speed'], ['front derailleur type', 'braze on'], ['rear derailleur type', 'medium cage'], ['brake type', 'rim brake'], ['cassette type', '12-32t'], ['chainring combination', '50/34t'], ['number of chainrings', '2'], ['bottom bracket type', 'bb86 (86.5mm x 41mm)'], ['bottom bracket included', 'yes'], ['bottom bracket type', 'bb86 / bb92 / bb121'], ['no. of chainrings', 'double'], ['groupset manufacturer', 'campagnolo'], ['brake type', 'caliper'], ['chainset type', 'double'], ['chainring size', '50 tooth, 34 tooth'], ['bottom bracket', 'campagnolo'], ['cassette range', '12-32 tooth'], ['speed', '11 speed'], ['groupset', 'campagnolo centaur'], ['road', 'yes']]",679.99,groupset,campagnolo
1847,Campagnolo Veloce 10 Speed Band-On Front Derailleur,"[['no. of chainrings', 'double'], ['front derailleur mount', 'band on - 31.8mm'], ['front derailleur', 'shimano ultegra'], ['speed', '10 speed'], ['commuter', 'yes'], ['touring', 'yes'], ['cyclocross', 'yes'], ['time trial', 'yes'], ['road', 'yes']]",33.99,front_derailleur,campagnolo
1852,Campagnolo Veloce 10 Speed Braze-On Front Derailleur,"[['max tooth difference', '16t'], ['max chainring size', '55t'], ['min chainring size', '34t'], ['weight', '98g'], ['no. of chainrings', 'double'], ['front derailleur mount', 'band on - 31.8mm'], ['front derailleur', 'shimano ultegra'], ['speed', '10 speed'], ['commuter', 'yes'], ['touring', 'yes'], ['cyclocross', 'yes'], ['time trial', 'yes'], ['road', 'yes']]",27.99,front_derailleur,campagnolo
1853,Campagnolo Front Derailleur Clamp,"[['sizes', '32mm or 35mm'], ['no. of chainrings', 'double'], ['front derailleur mount', 'band on'], ['front derailleur', 'campagnolo super record eps'], ['speed', '9 speed'], ['commuter', 'yes'], ['touring', 'yes'], ['cyclocross', 'yes'], ['road', 'yes']]",22.99,front_derailleur,campagnolo
1856,Campagnolo Record Eps 11 Speed Braze On Front Derailleur,"[['no. of chainrings', 'double'], ['front derailleur mount', 'band on - 31.8mm'], ['front derailleur', 'shimano ultegra'], ['speed', '11 speed'], ['commuter', 'yes'], ['touring', 'yes'], ['cyclocross', 'yes'], ['time trial', 'yes'], ['road', 'yes']]",524.99,front_derailleur,campagnolo
