Id;Name;Episodes;Franchise;Kind;Rating;Score;Status;AiredOn;ReleasedOn
180;Vandread;13;vandread;tv;pg_13;7.2;released;2000-10-02T20:00:00.0000000Z;2000-12-18T21:00:00.0000000Z
181;Vandread: The Second Stage;13;vandread;tv;pg_13;7.42;released;2001-10-04T20:00:00.0000000Z;2002-01-17T21:00:00.0000000Z
182;Tenkuu no Escaflowne;26;escaflowne;tv;pg_13;7.69;released;1996-04-01T20:00:00.0000000Z;1996-09-23T20:00:00.0000000Z
183;Whistle!;39;whistle;tv;g;7.38;released;2002-05-05T20:00:00.0000000Z;2003-02-02T21:00:00.0000000Z
184;Xenosaga The Animation;12;;tv;pg_13;6.36;released;2005-01-05T21:00:00.0000000Z;2005-03-23T21:00:00.0000000Z
185;Initial D First Stage;26;initial_d;tv;pg_13;8.28;released;1998-04-18T20:00:00.0000000Z;1998-12-05T21:00:00.0000000Z
186;Initial D Second Stage;13;initial_d;tv;pg_13;8.12;released;1999-10-14T20:00:00.0000000Z;2000-01-20T21:00:00.0000000Z
187;Initial D Third Stage;1;initial_d;movie;pg_13;7.89;released;2001-01-12T21:00:00.0000000Z;
189;Love Hina;24;love_hina;tv;pg_13;7.13;released;2000-04-18T20:00:00.0000000Z;2000-09-26T20:00:00.0000000Z
190;Love Hina Again;3;love_hina;ova;pg_13;7.24;released;2002-01-25T21:00:00.0000000Z;2002-03-26T21:00:00.0000000Z
191;Love Hina Christmas Special: Silent Eve;1;love_hina;special;pg_13;7.34;released;2000-12-24T21:00:00.0000000Z;
192;Love Hina Haru Special: Kimi Sakura Chiru Nakare!!;1;love_hina;special;pg_13;7.21;released;2001-04-01T20:00:00.0000000Z;
193;Maburaho;24;;tv;r_plus;6.79;released;2003-10-13T20:00:00.0000000Z;2004-04-05T20:00:00.0000000Z
194;Macross Zero;5;macross;ova;r_plus;7.55;released;2002-12-20T21:00:00.0000000Z;2004-10-19T20:00:00.0000000Z
195;Onegai☆Teacher;12;onegai_twins;tv;pg_13;7.17;released;2002-01-09T21:00:00.0000000Z;2002-03-27T21:00:00.0000000Z
196;Onegai☆Twins;12;onegai_twins;tv;pg_13;6.87;released;2003-07-14T20:00:00.0000000Z;2003-10-13T20:00:00.0000000Z
197;Rizelmine;24;;tv;r_plus;6.54;released;2002-04-02T20:00:00.0000000Z;2002-12-21T21:00:00.0000000Z
198;Speed Grapher;24;;tv;r_plus;7.35;released;2005-04-07T20:00:00.0000000Z;2005-09-29T20:00:00.0000000Z
199;Sen to Chihiro no Kamikakushi;1;;movie;pg;8.82;released;2001-07-19T20:00:00.0000000Z;
200;Tenshi na Konamaiki;50;tenshi_na_konamaiki;tv;pg_13;7.48;released;2002-04-05T20:00:00.0000000Z;2003-03-28T21:00:00.0000000Z
201;Video Girl Ai;6;;ova;r_plus;7.21;released;1992-03-26T21:00:00.0000000Z;1992-08-27T20:00:00.0000000Z
202;Wolf's Rain;26;wolf_s_rain;tv;pg_13;7.82;released;2003-01-06T21:00:00.0000000Z;2003-07-28T20:00:00.0000000Z
204;Yumeria;12;;tv;pg_13;6.1;released;2004-01-08T21:00:00.0000000Z;2004-03-25T21:00:00.0000000Z
205;Samurai Champloo;26;;tv;r;8.5;released;2004-05-19T20:00:00.0000000Z;2005-03-18T21:00:00.0000000Z
206;Lodoss-tou Senki: Eiyuu Kishi Den;27;lodoss_tou_senki;tv;pg_13;7.15;released;1998-03-31T20:00:00.0000000Z;1998-09-29T20:00:00.0000000Z
