SourceId;TargetId;Type
2273;91;alternative_version
2298;93;prequel
2298;94;sequel
2303;2302;prequel
2303;2305;sequel
2306;2302;other
2743;93;parent_story
3626;90;full_story
3927;2581;prequel
3927;6288;sequel
3963;95;full_story
3963;3964;sequel
3964;95;full_story
3964;3963;prequel
5351;2581;full_story
6215;7953;sequel
6336;87;prequel
6336;88;sequel
6336;14007;prequel
6336;23943;other
6336;24371;summary
6336;32792;alternative_version
6336;35224;sequel
6336;37764;sequel
6336;38739;other
6336;40464;summary
6336;42380;other
7270;2581;full_story
7270;3927;full_story
8132;8287;alternative_version
8839;85;parent_story
9087;2302;other
9098;2302;other
17655;10808;full_story
17717;81;parent_story
19319;80;parent_story
19319;9040;other
19319;24625;sequel
19319;27907;side_story
19319;35567;side_story
19319;35982;sequel
19319;37245;alternative_setting
22435;90;other
30840;2302;parent_story
30840;2303;parent_story
30840;2304;parent_story
30840;2305;parent_story
30840;6792;parent_story
31454;23259;parent_story
32158;24835;other
33051;31251;prequel
33051;38982;prequel
33221;31973;alternative_version
33221;35949;sequel
33225;24835;prequel
33226;24835;other
33228;24835;prequel
34391;31973;prequel
34391;35949;summary
34519;23259;parent_story
34519;40888;sequel
37764;6336;prequel
37764;37765;sequel
37764;40464;summary
38714;23259;full_story
38714;40890;sequel
38715;8287;prequel
38715;44041;other
38982;31251;prequel
38982;33051;sequel
39592;10937;alternative_version
40890;23259;full_story
40890;38714;prequel
40890;43204;sequel
43204;23259;full_story
43204;40890;prequel
94;1215;side_story
94;1241;sequel
94;2294;summary
94;2298;prequel
2304;2305;prequel
2304;6792;sequel
2305;2303;prequel
2305;2304;sequel
2695;84;alternative_setting
4232;1916;prequel
6288;3927;prequel
6792;2304;prequel
9708;86;parent_story
10581;84;parent_story
10581;32898;sequel
23943;6336;other
24625;19319;prequel
24625;30533;sequel
24625;35567;side_story
24625;35982;prequel
27907;19319;parent_story
32792;6336;alternative_version
32792;42380;other
32898;84;parent_story
32898;10581;prequel
35224;88;sequel
35224;6336;prequel
35224;36436;summary
35567;19319;parent_story
35567;24625;parent_story
35949;33221;prequel
35949;34391;full_story
35982;19319;prequel
35982;24625;sequel
35982;35567;side_story
36436;35224;full_story
37245;19319;alternative_setting
37245;37247;prequel
37245;40192;sequel
37765;37764;prequel
37765;38716;sequel
38739;6336;other
40888;34519;prequel
40888;38714;parent_story
40888;40890;parent_story
42380;6336;other
42380;32792;other
42380;42432;other
44041;38715;other
1215;94;parent_story
1241;94;prequel
2294;94;full_story
30533;24625;prequel
30533;35567;side_story
30533;37247;sequel
37247;30533;prequel
37247;37245;sequel
38716;37765;prequel
38716;38717;sequel
40192;37245;prequel
40192;40942;sequel
42432;42380;other
42432;42439;sequel
38717;38716;prequel
40942;40192;prequel
40942;44050;sequel
42439;42432;prequel
44050;40942;prequel
97;10336;sequel
97;12429;summary
10336;97;prequel
10336;12429;summary
10336;31866;summary
12429;97;full_story
12429;10336;full_story
31866;10336;full_story
98;99;alternative_setting
98;673;side_story
98;8062;side_story
99;98;alternative_setting
99;1609;sequel
99;1659;side_story
99;3268;prequel
99;8518;side_story
673;98;parent_story
8062;98;parent_story
1609;99;prequel
1609;6199;side_story
1659;99;parent_story
3268;99;sequel
8518;99;parent_story
6199;1609;parent_story
101;656;side_story
101;713;alternative_version
101;36032;summary
656;101;parent_story
713;101;alternative_version
36032;101;full_story
103;367;sequel
367;103;prequel
106;2071;alternative_setting
2071;106;alternative_setting
107;108;sequel
108;107;prequel
109;2205;prequel
2205;109;sequel
2205;2212;summary
2212;2205;full_story
110;39194;sequel
39194;110;prequel
39194;40957;sequel
40957;39194;prequel
112;275;other
112;705;side_story
112;765;side_story
112;964;other
275;112;other
275;964;alternative_setting
275;1874;side_story
705;112;parent_story
705;765;prequel
765;112;parent_story
765;275;sequel
765;705;sequel
765;964;alternative_version
765;1741;alternative_version
964;112;other
964;275;alternative_setting
964;1741;side_story
1741;964;parent_story
1874;275;parent_story
115;118;prequel
118;115;sequel
118;117;prequel
117;116;alternative_setting
117;118;sequel
116;117;alternative_setting
120;38680;alternative_version
120;40417;alternative_version
38680;120;alternative_version
38680;40417;sequel
40417;38680;prequel
40417;42938;sequel
42938;40417;prequel
121;430;sequel
121;664;summary
121;908;side_story
121;5114;alternative_version
430;121;prequel
430;908;spin_off
664;121;full_story
908;121;parent_story
908;430;parent_story
5114;121;alternative_version
5114;6421;side_story
5114;7902;spin_off
5114;9135;side_story
6421;5114;parent_story
7902;5114;parent_story
9135;5114;parent_story
9135;10842;other
10842;9135;other
122;1996;side_story
1996;122;parent_story
123;380;sequel
380;123;prequel
380;381;sequel
381;124;sequel
381;380;prequel
124;381;prequel
125;126;alternative_version
126;125;alternative_version
127;128;sequel
128;127;prequel
129;130;sequel
129;484;side_story
129;2143;prequel
129;3218;side_story
129;4476;side_story
130;129;prequel
130;131;sequel
484;129;parent_story
484;4476;sequel
2143;129;sequel
2143;9088;prequel
3218;129;parent_story
4476;129;parent_story
4476;484;prequel
131;130;prequel
131;33726;sequel
131;45783;alternative_version
9088;2143;sequel
9088;17137;other
17137;9088;other
33726;131;prequel
33726;45783;prequel
45783;131;alternative_version
45783;33726;sequel
133;651;sequel
133;881;alternative_version
133;1679;side_story
651;133;prequel
881;133;alternative_version
1679;133;side_story
134;3231;sequel
3231;134;prequel
3231;4765;sequel
4765;3231;prequel
135;645;sequel
135;2336;summary
135;10765;alternative_version
135;39295;summary
645;135;prequel
2336;135;full_story
10765;135;alternative_version
39295;135;full_story
39295;41191;alternative_version
41191;135;full_story
41191;39295;alternative_version
136;137;sequel
136;10189;side_story
136;11061;alternative_version
137;136;prequel
137;138;sequel
137;11061;alternative_version
10189;136;parent_story
11061;136;alternative_version
11061;137;alternative_version
11061;138;alternative_version
11061;139;alternative_version
11061;13271;side_story
11061;19951;side_story
138;137;prequel
138;139;sequel
138;11061;alternative_version
139;138;prequel
139;11061;alternative_version
13271;11061;parent_story
19951;11061;parent_story
141;848;side_story
848;141;parent_story
144;704;sequel
144;1530;alternative_version
704;144;prequel
1530;144;alternative_version
147;281;spin_off
147;1856;spin_off
147;3318;alternative_version
147;9170;spin_off
281;147;spin_off
1856;147;spin_off
3318;147;alternative_version
9170;147;spin_off
148;7571;side_story
148;18643;other
7571;148;parent_story
18643;148;other
149;3057;side_story
3057;149;parent_story
150;405;alternative_version
150;10490;other
150;10681;other
405;150;alternative_version
405;10490;other
405;10681;other
10490;150;other
10490;405;other
10490;10681;sequel
10490;14077;side_story
10490;14117;summary
10681;150;other
10681;405;other
10681;10490;prequel
10681;14117;prequel
14077;10490;parent_story
14117;10490;full_story
14117;10681;sequel
151;1661;alternative_version
151;36976;other
1661;151;alternative_version
1661;1853;alternative_version
1661;2497;sequel
1661;6496;alternative_version
1661;36976;other
36976;151;other
36976;1661;other
36976;1853;other
36976;2497;other
36976;6496;other
1853;1661;alternative_version
1853;6496;side_story
1853;36976;other
2497;1661;prequel
2497;36976;other
6496;1853;prequel
6496;36976;other
152;3138;side_story
3138;152;parent_story
154;3861;summary
154;42205;alternative_version
3861;154;parent_story
42205;154;alternative_version
155;156;alternative_version
155;2729;prequel
156;155;alternative_version
156;595;prequel
2729;155;sequel
595;156;sequel
595;1043;prequel
1043;595;sequel
1043;24139;other
1043;43629;other
24139;1043;other
43629;1043;other
157;1546;alternative_version
157;3948;alternative_setting
157;4188;alternative_setting
157;33478;sequel
157;34450;other
1546;157;alternative_version
1546;1619;side_story
1546;1732;side_story
1546;4188;alternative_version
1546;33478;sequel
3948;157;alternative_setting
4188;1546;alternative_version
4188;6050;sequel
33478;1546;prequel
33478;7135;prequel
33478;34604;other
34450;157;other
1619;1546;parent_story
1732;1546;parent_story
6050;4188;prequel
6050;7135;sequel
6050;10628;side_story
7135;6050;prequel
7135;33478;sequel
